symbol,ex_date,weight,price,dividend,impure_ratio,purification_amount,nav_frac,covered
ZTS,2021-01-19,0.008118695203217648,153.26478576660156,0.25,,,,False
PG,2021-01-21,0.03768995285985242,113.76930236816406,0.791,0.0021846370683579986,0.001728047921071177,5.724746775186686e-07,True
CL,2021-01-22,0.0075395161938385654,68.64559173583984,0.44,0.0029949659083667876,0.0013177849996813865,1.4473560637846555e-07,True
CLX,2021-01-26,0.0026287291705850997,176.5212860107422,1.11,0.00029757476565987203,0.00033030798988245796,4.918898269461426e-09,True
PFE,2021-01-28,0.021549820283104953,27.010112762451172,0.39,0.004367149758454107,0.0017031884057971017,1.358876372564419e-06,True
PAYX,2021-01-29,0.0034489515619961293,73.84691619873047,0.62,0.021979967624443545,0.013627579927154998,6.364634502746688e-07,True
TXN,2021-01-29,0.016118955041042753,142.22450256347656,1.02,,,,False
INTC,2021-02-04,0.023670382861075628,53.47024917602539,0.348,0.003493135731439506,0.001215611234540948,5.381307133446184e-07,True
NSC,2021-02-04,0.0064062705836010906,219.41404724121094,0.99,,,,False
AAPL,2021-02-05,0.1,132.96633911132812,0.205,0.013707811959273628,0.0028101014516510934,2.1133931116944515e-06,True
ROL,2021-02-09,0.0012481174126075822,35.28943634033203,0.08,,,,False
RMD,2021-02-10,0.0030906369618352966,190.8321533203125,0.39,0.00034528086281663287,0.00013465953649848683,2.1808889829339533e-09,True
AMGN,2021-02-11,0.015110007478771567,198.23849487304688,1.76,,,,False
EMR,2021-02-11,0.005021578366120771,76.35084533691406,0.505,0.0011319630622579685,0.000571641346440274,3.759672608466564e-08,True
MMM,2021-02-11,0.008940077082829937,122.52361297607422,1.237458,0.0024894199651481204,0.0030805526512322624,2.2477608593790404e-07,True
TECH,2021-02-11,0.00033054148745222936,96.3812484741211,0.08,,,,False
CHD,2021-02-12,0.002252484309462831,77.67257690429688,0.253,,,,False
IVZ,2021-02-12,0.0009877208166085847,18.12168312072754,0.155,0.004658841991695819,0.0007221205087128519,3.935911768260902e-08,True
ROK,2021-02-12,0.003056167011760822,227.49937438964844,1.07,0.0008689058106101299,0.0009297292173528391,1.2489738802874012e-08,True
SWKS,2021-02-12,0.00296606830237369,163.5663604736328,0.5,,,,False
MSFT,2021-02-17,0.1,233.37867736816406,0.56,,,,False
HSY,2021-02-18,0.0032229363742998945,133.57818603515625,0.804,0.0010013458127792613,0.0008050820334745261,1.9424789683080984e-08,True
MSCI,2021-02-18,0.003556909672176931,411.8197021484375,0.78,0.010529620052946598,0.008213103641298347,7.093703294893828e-08,True
TER,2021-02-18,0.002003894761898215,133.70809936523438,0.1,0.037859925150843965,0.0037859925150843968,5.6740994790747194e-08,True
JNJ,2021-02-22,0.04646661648747894,139.07537841796875,1.01,0.00435052827843381,0.004394033561218148,1.4680950333898582e-06,True
NDSN,2021-02-22,0.0011031612950323586,173.133544921875,0.39,0.000792513318561124,0.0003090801942388384,1.9693774970022562e-09,True
SPGI,2021-02-23,0.007834001846146842,293.773193359375,0.728477,,,,False
AMAT,2021-02-24,0.009460027588944878,117.41316223144531,0.22,,,,False
MCO,2021-02-24,0.0054614883610566885,265.9742736816406,0.62,0.003520397597846345,0.002182646510664734,4.481823880667776e-08,True
ADI,2021-02-25,0.00582770355244114,140.177734375,0.69,0.0007683307109548789,0.0005301481905588664,2.2040208505404073e-08,True
CBOE,2021-02-25,0.0010866744140252008,93.47816467285156,0.42,0.0007611874524257842,0.00031969873001882934,3.716466100117052e-09,True
FDS,2021-02-25,0.0012309328752327917,277.60064697265625,0.77,,,,False
HON,2021-02-25,0.0147015128722248,181.16188049316406,0.919278,0.006946525375248576,0.006385787953907761,5.182146682740771e-07,True
UNP,2021-02-25,0.014631200128726683,184.64208984375,0.97,0.0014741109268472453,0.0014298875990418278,1.1330553960296631e-07,True
EBAY,2021-02-26,0.004869692615114469,51.394744873046875,0.18,0.011111111111111112,0.002,1.895015775306747e-07,True
MCD,2021-02-26,0.017210638135895424,181.4719696044922,1.29,,,,False
ODFL,2021-03-02,0.0013701143430740969,108.22441101074219,0.1,,,,False
NEM,2021-03-03,0.004741791017368607,47.406211853027344,0.55,0.0020875010872401494,0.0011481255979820823,1.1484089182660004e-07,True
